nohup: ignoring input
###training start~~~~
hash_gan.py:286: UserWarning: invalid index of a 0-dim tensor. This will be an error in PyTorch 0.5. Use tensor.item() to convert a 0-dim tensor to a Python number
  epoch, itr, len(train_loader)*opt.batch_size, loss_d.data[0], loss_g.data[0]))
===> Epoch[1](268/58368): Loss_D: 106.6906052 Loss_G: 0.3802
===> Epoch[1](269/58368): Loss_D: 104.5764847 Loss_G: 0.3786
===> Epoch[1](270/58368): Loss_D: 104.9996796 Loss_G: 0.3782
===> Epoch[1](271/58368): Loss_D: 104.1622009 Loss_G: 0.3795
===> Epoch[1](272/58368): Loss_D: 105.8021393 Loss_G: 0.3793
===> Epoch[1](273/58368): Loss_D: 106.2120819 Loss_G: 0.3800
===> Epoch[1](274/58368): Loss_D: 104.4580688 Loss_G: 0.3794
===> Epoch[1](275/58368): Loss_D: 105.4889908 Loss_G: 0.3799
===> Epoch[1](276/58368): Loss_D: 102.8408661 Loss_G: 0.3788
===> Epoch[1](277/58368): Loss_D: 104.3644638 Loss_G: 0.3786
===> Epoch[1](278/58368): Loss_D: 103.2912216 Loss_G: 0.3781
===> Epoch[1](279/58368): Loss_D: 102.8004608 Loss_G: 0.3784
===> Epoch[1](280/58368): Loss_D: 102.1748047 Loss_G: 0.3775
===> Epoch[1](281/58368): Loss_D: 101.2744370 Loss_G: 0.3781
===> Epoch[1](282/58368): Loss_D: 102.4028168 Loss_G: 0.3790
===> Epoch[1](283/58368): Loss_D: 105.6989212 Loss_G: 0.3777
===> Epoch[1](284/58368): Loss_D: 105.4430008 Loss_G: 0.3779
===> Epoch[1](285/58368): Loss_D: 103.8530502 Loss_G: 0.3777
===> Epoch[1](286/58368): Loss_D: 106.1756744 Loss_G: 0.3776
===> Epoch[1](287/58368): Loss_D: 105.6474915 Loss_G: 0.3780
===> Epoch[1](288/58368): Loss_D: 105.2911682 Loss_G: 0.3791
===> Epoch[1](289/58368): Loss_D: 104.9908905 Loss_G: 0.3778
===> Epoch[1](290/58368): Loss_D: 103.4019394 Loss_G: 0.3778
===> Epoch[1](291/58368): Loss_D: 105.1384125 Loss_G: 0.3778
===> Epoch[1](292/58368): Loss_D: 100.8384399 Loss_G: 0.3777
===> Epoch[1](293/58368): Loss_D: 104.6465530 Loss_G: 0.3766
===> Epoch[1](294/58368): Loss_D: 103.8061981 Loss_G: 0.3773
===> Epoch[1](295/58368): Loss_D: 104.5103302 Loss_G: 0.3769
===> Epoch[1](296/58368): Loss_D: 104.2852936 Loss_G: 0.3785
===> Epoch[1](297/58368): Loss_D: 103.4529877 Loss_G: 0.3774
===> Epoch[1](298/58368): Loss_D: 104.8487778 Loss_G: 0.3772
===> Epoch[1](299/58368): Loss_D: 103.4453430 Loss_G: 0.3773
===> Epoch[1](300/58368): Loss_D: 103.5940552 Loss_G: 0.3766
===> Epoch[1](301/58368): Loss_D: 103.5220947 Loss_G: 0.3776
===> Epoch[1](302/58368): Loss_D: 102.6229324 Loss_G: 0.3773
===> Epoch[1](303/58368): Loss_D: 102.8844452 Loss_G: 0.3770
===> Epoch[1](304/58368): Loss_D: 101.7185822 Loss_G: 0.3762
===> Epoch[1](305/58368): Loss_D: 102.6287079 Loss_G: 0.3770
===> Epoch[1](306/58368): Loss_D: 103.3330383 Loss_G: 0.3776
===> Epoch[1](307/58368): Loss_D: 103.7071533 Loss_G: 0.3772
===> Epoch[1](308/58368): Loss_D: 103.2780838 Loss_G: 0.3769
===> Epoch[1](309/58368): Loss_D: 103.5664444 Loss_G: 0.3775
===> Epoch[1](310/58368): Loss_D: 102.1588745 Loss_G: 0.3770
===> Epoch[1](311/58368): Loss_D: 103.4444351 Loss_G: 0.3757
===> Epoch[1](312/58368): Loss_D: 101.2174759 Loss_G: 0.3765
===> Epoch[1](313/58368): Loss_D: 103.5982590 Loss_G: 0.3772
===> Epoch[1](314/58368): Loss_D: 102.2985535 Loss_G: 0.3759
===> Epoch[1](315/58368): Loss_D: 102.9899368 Loss_G: 0.3766
===> Epoch[1](316/58368): Loss_D: 103.6267700 Loss_G: 0.3764
===> Epoch[1](317/58368): Loss_D: 101.3866730 Loss_G: 0.3773
===> Epoch[1](318/58368): Loss_D: 103.6628342 Loss_G: 0.3758
===> Epoch[1](319/58368): Loss_D: 99.5387955 Loss_G: 0.3758
===> Epoch[1](320/58368): Loss_D: 99.3127441 Loss_G: 0.3759
===> Epoch[1](321/58368): Loss_D: 102.6040878 Loss_G: 0.3763
===> Epoch[1](322/58368): Loss_D: 102.2465744 Loss_G: 0.3762
===> Epoch[1](323/58368): Loss_D: 99.6744537 Loss_G: 0.3769
===> Epoch[1](324/58368): Loss_D: 102.8872452 Loss_G: 0.3758
===> Epoch[1](325/58368): Loss_D: 100.9657898 Loss_G: 0.3747
===> Epoch[1](326/58368): Loss_D: 103.2137299 Loss_G: 0.3765
===> Epoch[1](327/58368): Loss_D: 103.0335312 Loss_G: 0.3759
===> Epoch[1](328/58368): Loss_D: 101.4071732 Loss_G: 0.3761
===> Epoch[1](329/58368): Loss_D: 104.3654785 Loss_G: 0.3769
===> Epoch[1](330/58368): Loss_D: 101.1257095 Loss_G: 0.3757
===> Epoch[1](331/58368): Loss_D: 99.5393295 Loss_G: 0.3755
===> Epoch[1](332/58368): Loss_D: 100.7203369 Loss_G: 0.3758
===> Epoch[1](333/58368): Loss_D: 103.6760254 Loss_G: 0.3762
===> Epoch[1](334/58368): Loss_D: 102.4982071 Loss_G: 0.3759
===> Epoch[1](335/58368): Loss_D: 100.2672882 Loss_G: 0.3763
===> Epoch[1](336/58368): Loss_D: 100.8584213 Loss_G: 0.3754
===> Epoch[1](337/58368): Loss_D: 103.4275742 Loss_G: 0.3759
===> Epoch[1](338/58368): Loss_D: 101.8151855 Loss_G: 0.3760
===> Epoch[1](339/58368): Loss_D: 98.7126694 Loss_G: 0.3746
===> Epoch[1](340/58368): Loss_D: 100.8271027 Loss_G: 0.3763
===> Epoch[1](341/58368): Loss_D: 103.2113113 Loss_G: 0.3753
===> Epoch[1](342/58368): Loss_D: 100.6915588 Loss_G: 0.3749
===> Epoch[1](343/58368): Loss_D: 103.5561218 Loss_G: 0.3757
